"site","month","avg_precip","avg_temp"
"AtascosaHighlandsAZ",1,33.4675609756098,8.55263571990559
"AtascosaHighlandsAZ",2,32.8092682926829,9.81291301213505
"AtascosaHighlandsAZ",3,28.3931707317073,12.3206136900079
"AtascosaHighlandsAZ",4,13.4456097560976,15.7141463414634
"AtascosaHighlandsAZ",5,5.81585365853658,19.8457120377655
"AtascosaHighlandsAZ",6,10.3865853658537,24.9582926829268
"AtascosaHighlandsAZ",7,125.927804878049,25.6287962234461
"AtascosaHighlandsAZ",8,118.37,24.6317073170732
"AtascosaHighlandsAZ",9,57.4158536585366,22.7753658536585
"AtascosaHighlandsAZ",10,34.1080487804878,18.0969315499607
"AtascosaHighlandsAZ",11,20.1682926829268,12.769837398374
"AtascosaHighlandsAZ",12,46.5507317073171,8.50778914240755
"PatagoniaAZ",1,32.8041463414634,7.95263571990559
"PatagoniaAZ",2,28.3943902439024,9.20331611197885
"PatagoniaAZ",3,23.3090243902439,11.8232887490165
"PatagoniaAZ",4,12.5321951219512,15.0744715447154
"PatagoniaAZ",5,6.32439024390244,19.4599527930763
"PatagoniaAZ",6,13.8526829268293,24.4987804878049
"PatagoniaAZ",7,115.588536585366,25.0686073957514
"PatagoniaAZ",8,108.50756097561,24.02871754524
"PatagoniaAZ",9,49.13,22.1664227642276
"PatagoniaAZ",10,27.2343902439024,17.4077104642014
"PatagoniaAZ",11,20.6914634146341,12.1321138211382
"PatagoniaAZ",12,38.1026829268293,7.96428009441385
"PortalAZ",1,46.1941463414634,3.87765538945712
"PortalAZ",2,31.7065853658537,5.32717770034843
"PortalAZ",3,28.04,8.05350118017309
"PortalAZ",4,15.0185365853659,11.9337398373984
"PortalAZ",5,14.4339024390244,15.999449252557
"PortalAZ",6,24.630487804878,20.9459349593496
"PortalAZ",7,117.42756097561,21.6408339889851
"PortalAZ",8,132.503902439024,20.5215578284815
"PortalAZ",9,74.9539024390244,18.3634146341463
"PortalAZ",10,42.5978048780488,13.6378442171518
"PortalAZ",11,37.2409756097561,8.25479674796748
"PortalAZ",12,51.2521951219512,3.90228166797797
"RamseyCanyonAZ",1,33.6241463414634,8.28135326514555
"RamseyCanyonAZ",2,25.7126829268293,9.67002583203172
"RamseyCanyonAZ",3,21.8321951219512,12.4970102281668
"RamseyCanyonAZ",4,10.6721951219512,15.9731707317073
"RamseyCanyonAZ",5,5.7290243902439,20.2778914240755
"RamseyCanyonAZ",6,17.7331707317073,25.2655284552846
"RamseyCanyonAZ",7,102.714634146341,25.5129032258065
"RamseyCanyonAZ",8,107.648292682927,24.520141620771
"RamseyCanyonAZ",9,53.9214634146341,22.6667479674797
"RamseyCanyonAZ",10,33.8658536585366,17.945397324941
"RamseyCanyonAZ",11,25.8958536585366,12.6073983739837
"RamseyCanyonAZ",12,37.6246341463415,8.20519276160504
"SabinoCanyonAZ",1,60.820487804878,8.1654602675059
"SabinoCanyonAZ",2,51.1012195121951,9.10858464495975
"SabinoCanyonAZ",3,40.5687804878049,11.7110149488592
"SabinoCanyonAZ",4,19.559756097561,15.510406504065
"SabinoCanyonAZ",5,8.58439024390244,20.2723839496459
"SabinoCanyonAZ",6,9.47609756097561,25.5927642276423
"SabinoCanyonAZ",7,93.5995121951219,26.3008654602675
"SabinoCanyonAZ",8,109.883658536585,25.2023603461841
"SabinoCanyonAZ",9,53.280243902439,23.3651219512195
"SabinoCanyonAZ",10,43.1019512195122,18.3414634146341
"SabinoCanyonAZ",11,36.4856097560976,12.6547967479675
"SabinoCanyonAZ",12,59.880243902439,8.00141620771046
"SantaRitaMountains",1,61.1253658536585,7.88961447678993
"SantaRitaMountains",2,54.2034146341463,8.86758680764147
"SantaRitaMountains",3,45.2968292682927,11.3582218725413
"SantaRitaMountains",4,22.3217073170732,14.7885365853659
"SantaRitaMountains",5,11.0082926829268,19.2800157356412
"SantaRitaMountains",6,19.3290243902439,24.4010569105691
"SantaRitaMountains",7,136.534146341463,24.0140047206924
"SantaRitaMountains",8,142.478048780488,23.2118017309205
"SantaRitaMountains",9,79.3273170731707,21.8338211382114
"SantaRitaMountains",10,47.3448780487805,17.4130605822187
"SantaRitaMountains",11,39.3809756097561,12.3491869918699
"SantaRitaMountains",12,69.9982926829268,7.96325727773407
"SycamoreCreekAZ",1,61.3853658536585,9.9243115656963
"SycamoreCreekAZ",2,49.800487804878,11.1797879370419
"SycamoreCreekAZ",3,57.1387804878049,13.8571203776554
"SycamoreCreekAZ",4,18.849512195122,17.7854471544715
"SycamoreCreekAZ",5,8.55585365853659,22.3328088119591
"SycamoreCreekAZ",6,3.14414634146341,28.0507317073171
"SycamoreCreekAZ",7,40.5317073170732,29.9388670338316
"SycamoreCreekAZ",8,56.7407317073171,29.2679779701023
"SycamoreCreekAZ",9,36.829756097561,26.4434959349594
"SycamoreCreekAZ",10,29.36,20.7204563335956
"SycamoreCreekAZ",11,38.079756097561,14.5292682926829
"SycamoreCreekAZ",12,58.849756097561,9.79464988198269
"BoyceThompsonArboretum",1,60.269756097561,9.47466561762392
"BoyceThompsonArboretum",2,56.8346341463415,10.9704854018984
"BoyceThompsonArboretum",3,49.8573170731707,13.553422501967
"BoyceThompsonArboretum",4,16.5431707317073,17.5273983739837
"BoyceThompsonArboretum",5,9.08707317073171,21.9651455546814
"BoyceThompsonArboretum",6,5.45,27.489674796748
